Temperature (°C),Relative Humidity,UVB Radiation (W/m²),UV Index,UVA Radiation (W/m²),Specific Humidity (g/kg),Relative Humidity (%),Precipitation (mm),Wind Speed (10m) (m/s),"Is Holiday (1=Open, 0=Closed)",Year,Month,Day,Hour,"Weekday (0=Sun, 6=Sat)",Inflation Rate (%),Electric Load (MW)
0.25,0.9,0.11,0.52,10.64,19.35,0.895900621,0.29,0.411464968,1,2009,1,1,8,3,0.58,46975
0.3125,0.87,0.45,2.23,22.73,19.59,0.843229814,0.27,0.426751592,1,2009,1,1,9,3,0.58,57261
0.5,0.883333333,0.91,4.85,33.59,19.53,0.762484472,0.35,0.464968153,1,2009,1,1,10,3,0.58,63679
0.625,0.896666667,1.29,6.65,40.12,19.35,0.68173913,0.51,0.498089172,1,2009,1,1,11,3,0.58,65123
0.625,0.91,1.37,6.77,39.39,19.29,0.619627329,0.77,0.507006369,1,2009,1,1,12,3,0.58,65142
0.625,0.92,1.42,7.08,40.36,19.23,0.580869565,1.03,0.505732484,1,2009,1,1,13,3,0.58,64745
0.5,0.93,1.23,6.1,36.55,19.23,0.568447205,1.18,0.49044586,1,2009,1,1,14,3,0.58,64783
0.5625,0.94,0.93,5.02,31.69,19.35,0.585341615,1.13,0.463694268,1,2009,1,1,15,3,0.58,64607
0.5625,0.953333333,0.42,2.15,18.05,19.65,0.641490683,1.1,0.414012739,1,2009,1,1,16,3,0.58,61089
0.5625,0.966666667,0.12,0.58,8.01,19.84,0.711304348,1.02,0.360509554,1,2009,1,1,17,3,0.58,52406
0.5,0.98,0.01,0.05,2.51,19.96,0.799751553,0.88,0.291719745,1,2009,1,1,18,3,0.58,50328
0.4375,0.976666667,0,0,0,19.71,0.854161491,0.8,0.252229299,1,2009,1,1,19,3,0.58,52425
0.3125,0.973333333,0,0,0,19.53,0.871055901,0.67,0.238216561,1,2009,1,1,20,3,0.58,50457
0.3125,0.97,0,0,0,19.35,0.889937888,0.56,0.234394904,1,2009,1,1,21,3,0.58,41577
0.3125,0.973333333,0,0,0,19.23,0.905341615,0.56,0.234394904,1,2009,1,1,22,3,0.58,36002
0.3125,0.976666667,0,0,0,19.04,0.911552795,0.69,0.253503185,1,2009,1,1,23,3,0.58,33522
0.25,0.98,0,0,0,18.98,0.923975155,0.83,0.285350318,1,2009,2,1,0,6,0.58,30625
0.25,0.98,0,0,0,18.98,0.931677019,0.92,0.296815287,1,2009,2,1,1,6,0.58,29060
0.25,0.98,0,0,0,18.92,0.933167702,0.99,0.287898089,1,2009,2,1,2,6,0.58,27586
0.25,0.98,0,0,0,18.86,0.930186335,0.98,0.27133758,1,2009,2,1,3,6,0.58,26846
0.1875,0.973333333,0,0,0,18.74,0.927204969,1.06,0.249681529,1,2009,2,1,4,6,0.58,26561
0.1875,0.966666667,0,0,0,18.68,0.923975155,0.97,0.236942675,1,2009,2,1,5,6,0.58,26626
0.1875,0.96,0,0,0,18.62,0.923975155,0.78,0.238216561,1,2009,2,1,6,6,0.58,29623
0.1875,0.94,0,0.02,1.05,18.68,0.916273292,0.56,0.226751592,1,2009,2,1,7,6,0.58,36612
0.1875,0.92,0.08,0.4,7.31,19.04,0.883478261,0.02,0.243312102,1,2009,2,1,8,6,0.58,48735
0.25,0.9,0.34,1.67,16.06,19.1,0.84173913,0.02,0.248407643,1,2009,2,1,9,6,0.58,57640
